Nombre,Etiquetas,Fecha,Participantes
KM-MIN-003: Gerencia Hotelera - Sesión 2,,9 de marzo de 2026,"Rodrigo, Adriana y Recepcionista."
KM-MIN-002: Gerencia Hotelera - Sesión 1,,9 de marzo de 2026,"Rodrigo, Adriana y Recepcionista."
KM-MIN-001: Administración y Finanzas (Dpto. Compras) - Sesión 1,,11 de febrero de 2026,
KM-MIN-001: Talento Humano - Sesión 1,,12 de febrero de 2026,
KM-MIN-001: Gerencia Hotelera - Sesión 1,,13 de febrero de 2026,
KM-MIN-002: Talento Humano - Sesión 1,,10 de marzo de 2026,
KM-MIN-003: Talento Humano - Sesión 2,,10 de marzo de 2026,
KM-MIN-001: Administración y Finanzas (CCS) - Sesión 1,,11 de marzo de 2026,
KM-MIN-001: Administración y Finanzas (Dpto. Compras y Dpto. Almacén) - Sesión 2,,12 de marzo de 2026,
KM-MIN-001: Asesoría Legal - Sesión 1,,12 de marzo de 2026,
KM-MIN-001: Asesoría de Contraloría - Sesión 1,,,
KM-MIN-001: Administración y Finanzas (HOTEL-LIBNY) - Sesion 1,,17 de marzo de 2026,
KM-MIN-001: Administración y Finanzas (HOTEL-LIBNY) - Sesion 2,,17 de marzo de 2026,
KM-MIN-001: Gerencia Hotelera (A y B) - Sesión 1,,24 de marzo de 2026,
KM-MIN-001: Operaciones - Sesión 1,,24 de marzo de 2026,
KM-MIN-002: Gerencia Hotelera (A y B) - Sesión 1,,25 de marzo de 2026,
KM-MIN-003: Gerencia Hotelera (A y B) - Sesión 1,,25 de marzo de 2026,
KM-MIN-003: Gerencia Hotelera (A y B) - Sesión 2,,25 de marzo de 2026,
KM-MIN-001: Administración y Finanzas (HOTEL-JUAN) - Sesion 1,,26 de marzo de 2026,
KM-MIN-001: Administración y Finanzas (HOTEL-JUAN) - Sesion 2,,26 de marzo de 2026,